policy_id,title,keywords,category,category_l,category_m,region_sido,region_zip_first,age_min,age_max,age_limit_yn,income_condition,marriage_code,apply_period_type,apply_period_raw,biz_start,biz_end,provider_main,provider_operator,apply_url,ref_url_1,ref_url_2,raw_expln,raw_support,raw_snippet,notes,created_at,updated_at
20251124005400211938,찾아가는 일자리 희망버스 운영,"중소기업,맞춤형상담서비스",취업·일자리,일자리,취업,서울특별시,11110,,,Y,,결혼 여부 상관없음,상시모집,,20250201.0,20251231.0,전라남도 동부지역본부 일자리투자유치국 일자리경제과,재단법인전라남도중소기업일자리경제진흥원,https://job.jeonnam.go.kr,https://job.jeonnam.go.kr,https://job.jeonnam.go.kr/www/86?bbsId=bbs1&postId=8526&clId=&pageIndex=1&pageUnit3=9&condition=&operator=contains&keyword=&url=%2Fwww%2Fbbs%2FpostView,취업을 희망하는 일자리 구인수요 기업을 방문하여 현장탐방 후 면접을 통해 채용으로 이어지는 원스톱 취업지원 서비스 제공,"구직자가 채용계획이 있는 중소기업을 탐방하고 근무현장에서 면접을 실시해 중소기업 인식을 개선, 실질적인 취업으로 연계",취업을 희망하는 일자리 구인수요 기업을 방문하여 현장탐방 후 면접을 통해 채용으로 이어지는 원스톱 취업지원 서비스 제공,"구인기업 모집에 따라 지원요건, 신청기간 등 변경되오니 관련 부서, 운영기관에 문의하여 주시기 바랍니다.",2025-11-24 21:10:16,2025-11-25 10:24:01
20251114005400211895,청년 의령 살아보기,주거지원,소득·생활,복지문화,문화활동,서울특별시,11110,18.0,49.0,N,,결혼 여부 상관없음,기간모집,20250314 ~ 20251113,20250314.0,20251212.0,경상남도 의령군 소멸위기대응추진단,,https://www.uiryeong.go.kr/youthcenter/index.uiryeong#,https://www.uiryeong.go.kr/youthcenter/index.uiryeong#,https://www.uiryeong.go.kr/youthcenter/board/view.uiryeong?boardId=BBS_0000533&menuCd=DOM_000002001001004000&startPage=1&dataSid=1092694,의령군 지역에 머물면서 개별 자유여행을 진행하며 개인 SNS 등을 통해 의령군 관광자원을 불특정 다수에게 홍보,"숙박비, 부대비(식비), 체험비 등 최대 85만원 지원",의령군 지역에 머물면서 개별 자유여행을 진행하며 개인 SNS 등을 통해 의령군 관광자원을 불특정 다수에게 홍보,,2025-11-14 15:53:57,2025-11-14 16:14:54
20251113005400211884,탑동 청년문화 복합콘텐츠 공간 조성 기본계획 수립,교육지원,소득·생활,복지문화,문화활동,서울특별시,11110,18.0,39.0,N,,결혼 여부 상관없음,기간모집,20250101 ~ 20251231,20250101.0,20251231.0,제주특별자치도 문화체육교육국 문화정책과,,https://jejuyouthdream.com/support-policy/61,https://jejuyouthdream.com/support-policy/61,,"청년들이 일상에서 문화예술을 시연, 참여할 수 있는 공간을 조성하여 청년의 예술문화 활성화 및 다양한 문화콘텐츠 창출 기반 마련","소규모 공연장, 연습실, 야외버스킹 공간 등 조성을 위한 기본계획 수립 용역 추진","청년들이 일상에서 문화예술을 시연, 참여할 수 있는 공간을 조성하여 청년의 예술문화 활성화 및 다양한 문화콘텐츠 창출 기반 마련",,2025-11-13 15:57:06,2025-11-13 16:04:16
20251113005400211883,글로벌 청년창의 레지던시,교육지원,소득·생활,복지문화,예술인지원,서울특별시,11110,18.0,39.0,N,,결혼 여부 상관없음,기간모집,20250410 ~ 20250509,20250101.0,20251231.0,제주특별자치도 문화체육교육국 문화정책과,,http://www.cifaljeju.org/bbs/board.php?bo_table=sub05_3&wr_id=204,http://www.cifaljeju.org/bbs/board.php?bo_table=sub05_3&wr_id=204,,"제주청년 예술가들에게 예술창작의 기회 및 해외 예술가와의 교류를 통한 역량강화 기회를 제공하고, 해외에 제주를 홍보하는 등 문화예술분야의 국제교류 활성화 도모",국내외 청년 예술가 몰입형 그룹 레지던시로 창작 교류 프로그램 추진,"제주청년 예술가들에게 예술창작의 기회 및 해외 예술가와의 교류를 통한 역량강화 기회를 제공하고, 해외에 제주를 홍보하는 등 문화예술분야의 국제교류 활성화 도모",,2025-11-13 15:26:36,2025-11-13 16:02:32
20251112005400211860,도민리포터 운영(청년 리포터),교육지원,기타,참여권리,청년참여,서울특별시,11110,19.0,39.0,N,,결혼 여부 상관없음,기간모집,20250101 ~ 20250131,20250101.0,20251231.0,충청남도 대변인 디지털소통담당관,,https://www.chungnam.go.kr/cnportal/search/cnportalSearch/list.do?pSiteId=cnportal&menuNo=5100165,https://www.chungnam.go.kr/cnportal/search/cnportalSearch/list.do?pSiteId=cnportal&menuNo=5100165,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500163,"청년들의 참여 활동으로, 지역 콘텐츠 발굴과 주요 정책 홍보",청년 정책 콘텐츠 및 지역 콘텐츠 발굴 후 홈페이지 게재 및 홍보,"청년들의 참여 활동으로, 지역 콘텐츠 발굴과 주요 정책 홍보",통합검색 - 충청남도 누리집(홈페이지),2025-11-12 13:58:24,2025-11-12 17:57:14
20251111005400211828,4차 산업분야 원격실습 직업훈련 지원,교육지원,취업·일자리,일자리,취업,서울특별시,11110,15.0,100.0,N,,결혼 여부 상관없음,기간모집,20250101 ~ 20251231,20250101.0,20251231.0,충청남도 산업경제실 경제기획관 일자리기업지원과,,https://cn.korchamhrd.net/,https://cn.korchamhrd.net/,,구직자 취업연계 4차산업분야 원격직업훈련 지원,최신 IT 기술을 활용하여 미취업자·재직자를 대상으로 4차산업 관련 핵심기술에 대한 원격 실습형 직업훈련 과정 운영,구직자 취업연계 4차산업분야 원격직업훈련 지원,,2025-11-11 14:57:33,2025-11-11 18:40:36
20251107005400211817,대학기숙사 확충,주거지원,주거지원,주거,기숙사,경기도,41111,19.0,39.0,N,,결혼 여부 상관없음,상시모집,,,,경기도 자치행정국 자치행정과,,https://www.gg.go.kr/,https://www.gg.go.kr/,,대학 기숙사 확충,대학 기숙사 확충,대학 기숙사 확충,,2025-11-07 15:26:31,2025-11-07 17:04:59
20251107005400211816,청년농업인 경쟁력제고 사업,교육지원,취업·일자리,일자리,창업,경기도,41111,18.0,39.0,N,,결혼 여부 상관없음,상시모집,,,,경기도 경기도농업기술원 기술보급국 지도정책과,,https://www.gg.go.kr/,https://www.gg.go.kr/,,"신기술과 결합된 경쟁력 있는 유형별(신기술, ICT, 벤처, 창업, 가공·관광 등) 사업 추진으로 청년농업인 경쟁력 향상","ㅇ 아이디어의 사업화를 위한 장비, 기계, 시설(설비 포함) 등
ㅇ ICT활용 기술 적용 생산비 절감 및 국내육성 품종 확대 사업 등
ㅇ 소포장 상품개발, 브랜드 개발(상표, 디자인, 박스 등) 등","신기술과 결합된 경쟁력 있는 유형별(신기술, ICT, 벤처, 창업, 가공·관광 등) 사업 추진으로 청년농업인 경쟁력 향상",,2025-11-07 15:22:42,2025-11-07 17:03:56
20251107005400211815,청년농업인 영농정착지원,장기미취업청년,취업·일자리,일자리,취업,경기도,41111,18.0,40.0,N,24년도 본인부담 건강보험료 소득판정기준 중위소득 140%,결혼 여부 상관없음,상시모집,,,,경기도 농수산생명과학국 농업정책과,,https://uni.agrix.go.kr/,https://uni.agrix.go.kr/,,영농 초기 불안정한 청년농에게 영농정착지원금을 지급하여 유능한 인재의 농업분야 진출 촉진,영농정착지원금 3년간 지급(90∼110만원),영농 초기 불안정한 청년농에게 영농정착지원금을 지급하여 유능한 인재의 농업분야 진출 촉진,,2025-11-07 15:19:06,2025-11-07 15:24:43
20251107005400211812,경기청년 역량강화 기회지원,장기미취업청년,취업·일자리,일자리,취업,경기도,41111,19.0,39.0,N,,결혼 여부 상관없음,상시모집,,,,경기도 미래평생교육국 청년기회과,,https://apply.jobaba.net,https://apply.jobaba.net,https://apply.jobaba.net/special/GGtestfees/main.do,취업 준비에 필요한 어학·자격시험 응시료를 지원하여 취업준비 부담 완화 및 고른 취업기회 제공,"1인 최대 30만원, 어학·자격시험 응시료 실비 지원",취업 준비에 필요한 어학·자격시험 응시료를 지원하여 취업준비 부담 완화 및 고른 취업기회 제공,,2025-11-07 14:55:42,2025-11-07 15:09:22
